tree_order	std_name	accession	replicate
780	CIH	ERR9594396	1
781	ABF	ERR9593612	1
783	AEI	ERR9593671	1
784	AFG	ERR9593688	1
785	SACE_YBU	ERR9594574	1
786	SACE_YBM	ERR9594568	1
787	ABC	ERR9593609	1
789	SACE_YDN	ERR9594613	1
790	CIC	ERR9594391	1
791	CDK	ERR9594308	1
792	CEM	ERR9594329	1
793	CIF	ERR9594394	1
794	CID	ERR9594392	1
795	BBT	ERR9593958	1
796	CHN	ERR9594379	1
797	CHP	ERR9594380	1
798	CMG	ERR9594448	1
800	BDM	ERR9593992	1
801	ACI	ERR9593633	1
802	SACE_YCS	ERR9594599	1
803	ACL	ERR9593636	1
804	CEQ	ERR9594332	1
805	BAB	ERR9593920	1
806	AVV	ERR9593918	1
807	BAA	ERR9593919	1
808	BAD	ERR9593922	1
809	BAC	ERR9593921	1
810	BAE	ERR9593923	1
811	BAF	ERR9593924	1
811	BAF	ERR9593925	2
812	CFA	ERR9594336	1
813	SACE_GAL	ERR9594532	1
814	CPS	ERR9594491	1
814	CPS	ERR9594492	2
815	CPT	ERR9594493	1
817	CQB	ERR9594494	1
818	AHS	ERR9593736	1
819	ADV	ERR9593662	1
820	AKG	ERR9593761	1
821	SACE_YAC	ERR9594542	1
822	ADF	ERR9593651	1
823	AKB	ERR9593756	1
823	AKB	ERR9593757	2
824	AKD	ERR9593759	1
825	AKC	ERR9593758	1
826	AKE	ERR9593760	1
827	AKH	ERR9593762	1
828	APQ	ERR9593840	1
829	APR	ERR9593841	1
830	ATP	ERR9593899	1
831	SACE_YBP	ERR9594570	1
832	SACE_YCV	ERR9594602	1
833	BAM	ERR9593931	1
834	BAQ	ERR9593934	1
834	BAQ	ERR9593935	2
835	BAG	ERR9593926	1
836	BAH	ERR9593927	1
837	BAL	ERR9593930	1
838	AMH	ERR9593799	1
839	CEG	ERR9594323	1
840	CEI	ERR9594325	1
840	CEI	ERR9594326	2
841	CCQ	ERR9594295	1
842	CCR	ERR9594296	1
843	CCS	ERR9594297	1
844	BAK	ERR9593929	1
845	BAI	ERR9593928	1
846	ACQ	ERR9593640	1
847	CCN	ERR9594293	1
848	CDL	ERR9594309	1
849	SACE_YCR	ERR9594598	1
850	BMA	ERR9594130	1
851	AKM	ERR9593767	1
852	BMB	ERR9594131	1
853	BMC	ERR9594132	1
854	SACE_MAL	ERR9594539	1
856	ABL	ERR9593617	1
857	SACE_YCB	ERR9594582	1
858	AMM	ERR9593803	1
859	BAN	ERR9593932	1
860	BAP	ERR9593933	1
861	CMP	ERR9594456	1
862	CCH	ERR9594289	1
862	CCH	ERR9594290	2
863	ACC	ERR9593628	1
864	CCC	ERR9594284	1
865	CCD	ERR9594285	1
866	CCE	ERR9594286	1
867	CCF	ERR9594287	1
868	CCG	ERR9594288	1
870	CMQ	ERR9594457	1
873	CDN	ERR9594311	1
874	BFA	ERR9594022	1
875	BFL	ERR9594030	1
876	AMB	ERR9593794	1
877	AMC	ERR9593795	1
878	CDQ	ERR9594314	1
879	SACE_GAS	ERR9594534	1
879	SACE_GAS	ERR9594535	2
881	CDF	ERR9594304	1
882	CDG	ERR9594305	1
883	CDH	ERR9594306	1
884	CDI	ERR9594307	1
885	AMD	ERR9593796	1
886	AMF	ERR9593797	1
887	CEH	ERR9594324	1
888	CCP	ERR9594294	1
889	BEG	ERR9594008	1
890	CDB	ERR9594300	1
891	AVI	ERR9593908	1
892	ACD	ERR9593629	1
893	ANF	ERR9593813	1
894	ANH	ERR9593815	1
895	ANC	ERR9593810	1
896	ANE	ERR9593812	1
897	ANG	ERR9593814	1
898	AND	ERR9593811	1
899	ANK	ERR9593817	1
900	ANI	ERR9593816	1
901	AKN	ERR9593768	1
