std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_DCT,P3,Coi et al. 2017,ERR560546,5. Georgian Wine,flor,Wine,Brewery,Food
XTRA_DCU,L1414,Coi et al. 2017,ERR560547,7. AU Wine 3,wine,Wine,Brewery,Food
XTRA_DCV,45480,Coi et al. 2017,ERR560548,5. Georgian Wine,flor,Wine,Brewery,Food
XTRA_DCW,TS12,Coi et al. 2017,ERR560549,5. Georgian Wine,flor,Wine,Brewery,Food
XTRA_DCX,6320,Coi et al. 2017,ERR560550,6. West Europe Wine,"wine\, Italy",Wine,Brewery,Food
XTRA_DCY,GE7,Coi et al. 2017,ERR560551,7. AU Wine 3,wine,Wine,Brewery,Food
XTRA_DCZ,F25,Coi et al. 2017,ERR560552,5. Georgian Wine,flor,Wine,Brewery,Food
XTRA_DDA,FS2D,Coi et al. 2017,ERR560553,5. Georgian Wine,flor,Wine,Brewery,Food
XTRA_DDB,F12,Coi et al. 2017,ERR560554,7. AU Wine 3,flor,Wine,Brewery,Food
XTRA_DDC,ZP862,Almeida et al. 2015,ERR747908,6. West Europe Wine,Apple with insect holes,Apple,Fruit,Plant
XTRA_DDD,ZP861,Almeida et al. 2015,ERR747909,6. West Europe Wine,Sun-dryed apple with ants,Apple,Fruit,Plant
XTRA_DDE,ZP641,Almeida et al. 2015,ERR747910,1. AU Wine 1,Spontaneous red wine fermentation,Wine,Brewery,Food
XTRA_DDF,HUN9.1s1,Almeida et al. 2015,ERR747911,14. Mediterranean Oak,Oak,NA,Tree,Plant
XTRA_DDG,ZP541,Almeida et al. 2015,ERR747912,14. Mediterranean Oak,Fagus sylvatica,Bark,Tree,Plant
XTRA_DDH,ZP742,Almeida et al. 2015,ERR747913,14. Mediterranean Oak,Rotten figs,Fig,Fruit,Plant
XTRA_DDI,ZP860,Almeida et al. 2015,ERR747914,14. Mediterranean Oak,Quercus ilex,Bark,Tree,Plant
XTRA_DDJ,ZP850,Almeida et al. 2015,ERR747915,14. Mediterranean Oak,Quercus ilex,Bark,Tree,Plant
XTRA_DDK,ZP570,Almeida et al. 2015,ERR747916,14. Mediterranean Oak,Fraxinus sp.,Bark,Tree,Plant
XTRA_DDL,ZP563,Almeida et al. 2015,ERR747917,14. Mediterranean Oak,Castanea sativa,Bark,Tree,Plant
XTRA_DDM,ZP564,Almeida et al. 2015,ERR747918,14. Mediterranean Oak,Quercus pyrenaica,Bark,Tree,Plant
XTRA_DDN,ZP566,Almeida et al. 2015,ERR747919,14. Mediterranean Oak,Quercus faginea,Bark,Tree,Plant
XTRA_DDO,ZP575,Almeida et al. 2015,ERR747920,14. Mediterranean Oak,Quercus pyrenaica,Bark,Tree,Plant
XTRA_DDP,ZP590,Almeida et al. 2015,ERR747921,14. Mediterranean Oak,Quercus pyrenaica,Bark,Tree,Plant
XTRA_DDQ,ZP530,Almeida et al. 2015,ERR747922,36. North American Wild,Castanea sativa,Bark,Tree,Plant
XTRA_DDR,ZP651,Almeida et al. 2015,ERR747923,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DDS,ZP652,Almeida et al. 2015,ERR747924,NA,Quercus acutissima,Bark,Tree,Plant
XTRA_DDT,DBQ22,Almeida et al. 2015,ERR747925,NA,Ficus carica,Bark,Tree,Plant
XTRA_DDU,DBS11,Almeida et al. 2015,ERR747926,28. Baiju,Ficus carica,Bark,Tree,Plant
XTRA_DDV,DBS12,Almeida et al. 2015,ERR747927,NA,Ficus carica,Bark,Tree,Plant
XTRA_DDW,ZP578,Almeida et al. 2015,ERR752929,1. AU Wine 1,Quercus faginea,Bark,Tree,Plant
XTRA_DDX,ZP577,Almeida et al. 2015,ERR752930,1. AU Wine 1,Quercus faginea,Bark,Tree,Plant
XTRA_DDY,ZP579,Almeida et al. 2015,ERR752931,1. AU Wine 1,Quercus pyrenaica,Bark,Tree,Plant
XTRA_DDZ,DBQ26,Almeida et al. 2015,ERR752932,14. Mediterranean Oak,Quercus pubescens,Bark,Tree,Plant
XTRA_DEA,ZP736,Almeida et al. 2015,ERR752933,14. Mediterranean Oak,Rotten figs,Fig,Fruit,Plant
XTRA_DEB,ZP562,Almeida et al. 2015,ERR752934,14. Mediterranean Oak,Quercus ilex,Bark,Tree,Plant
