std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_FKL,SBV016,Marr et al. 2023,SRR19238668,NA,vineyard/winery,NA,Soil,Environmental
XTRA_FKM,OCP088,Marr et al. 2023,SRR19238669,16. Canadian Wine,winery,Wine,Brewery,Food
XTRA_FKN,SBV015,Marr et al. 2023,SRR19238670,16. Canadian Wine,vineyard/winery,NA,Soil,Environmental
XTRA_FKO,SBV014,Marr et al. 2023,SRR19238671,16. Canadian Wine,vineyard/winery,NA,Soil,Environmental
XTRA_FKP,SBV011-2,Marr et al. 2023,SRR19238672,NA,UNK,NA,NA,NA
XTRA_FKQ,SBV011-1,Marr et al. 2023,SRR19238673,2. AU Wine 2,vineyard/winery,NA,Soil,Environmental
XTRA_FKR,SBV007,Marr et al. 2023,SRR19238674,1. AU Wine 1,winery,Wine,Brewery,Food
XTRA_FKS,SBV001,Marr et al. 2023,SRR19238675,NA,vineyard/winery,NA,Soil,Environmental
XTRA_FKT,P93A01,Marr et al. 2023,SRR19238676,27. US Clinical 2,vineyard,NA,Soil,Environmental
XTRA_FKU,P87B02,Marr et al. 2023,SRR19238677,NA,vineyard,NA,Soil,Environmental
XTRA_FKV,P109A01,Marr et al. 2023,SRR19238678,NA,vineyard,NA,Soil,Environmental
XTRA_FKW,OCP080-2,Marr et al. 2023,SRR19238679,16. Canadian Wine,winery,Wine,Brewery,Food
XTRA_FKX,P107C11,Marr et al. 2023,SRR19238680,6. West Europe Wine,vineyard,NA,Soil,Environmental
XTRA_FKY,P104A01,Marr et al. 2023,SRR19238681,NA,vineyard,NA,Soil,Environmental
XTRA_FKZ,P100A04,Marr et al. 2023,SRR19238682,1. AU Wine 1,vineyard,NA,Soil,Environmental
XTRA_FLA,OCP204,Marr et al. 2023,SRR19238683,1. AU Wine 1,vineyard/winery,NA,Soil,Environmental
XTRA_FLB,OCP193,Marr et al. 2023,SRR19238684,6. West Europe Wine,vineyard/winery,NA,Soil,Environmental
XTRA_FLC,P93F02,Marr et al. 2023,SRR19238685,27. US Clinical 2,vineyard,NA,Soil,Environmental
XTRA_FLD,OK200,Marr et al. 2023,SRR19238686,7. AU Wine 3,vineyard,NA,Soil,Environmental
XTRA_FLE,OK188,Marr et al. 2023,SRR19238687,NA,vineyard,NA,Soil,Environmental
XTRA_FLF,OK182,Marr et al. 2023,SRR19238688,16. Canadian Wine,vineyard,NA,Soil,Environmental
XTRA_FLG,OK047,Marr et al. 2023,SRR19238689,36. North American Wild,vineyard,NA,Soil,Environmental
XTRA_FLH,OCP048,Marr et al. 2023,SRR19238690,1. AU Wine 1,winery,Wine,Brewery,Food
XTRA_FLI,OCP295,Marr et al. 2023,SRR19238691,6. West Europe Wine,vineyard,NA,Soil,Environmental
XTRA_FLJ,OCP284,Marr et al. 2023,SRR19238692,6. West Europe Wine,winery,Wine,Brewery,Food
XTRA_FLK,OCP281,Marr et al. 2023,SRR19238693,6. West Europe Wine,UNK,NA,NA,NA
XTRA_FLL,OCP251,Marr et al. 2023,SRR19238694,8. AU Wine 4,vineyard/winery,NA,Soil,Environmental
XTRA_FLM,OCP279,Marr et al. 2023,SRR19238695,6. West Europe Wine,winery,Wine,Brewery,Food
XTRA_FLN,OCP245,Marr et al. 2023,SRR19238696,8. AU Wine 4,winery,Wine,Brewery,Food
XTRA_FLO,OCP226,Marr et al. 2023,SRR19238697,6. West Europe Wine,vineyard/winery,NA,Soil,Environmental
XTRA_FLP,OCP225,Marr et al. 2023,SRR19238698,6. West Europe Wine,winery,Wine,Brewery,Food
XTRA_FLQ,OCP298-2,Marr et al. 2023,SRR19238699,1. AU Wine 1,vineyard,NA,Soil,Environmental
XTRA_FLR,OCP216,Marr et al. 2023,SRR19238700,1. AU Wine 1,vineyard/winery,NA,Soil,Environmental
XTRA_FLS,OCP212,Marr et al. 2023,SRR19238701,6. West Europe Wine,vineyard,NA,Soil,Environmental
XTRA_FLT,OCP041,Marr et al. 2023,SRR19238702,16. Canadian Wine,vineyard,NA,Soil,Environmental
XTRA_FLU,OCP210,Marr et al. 2023,SRR19238703,1. AU Wine 1,starter/vineyard/winery,Wine,Brewery,Food
XTRA_FLV,OCP206,Marr et al. 2023,SRR19238704,1. AU Wine 1,winery,Wine,Brewery,Food
XTRA_FLW,OCP191,Marr et al. 2023,SRR19238705,6. West Europe Wine,winery,Wine,Brewery,Food
XTRA_FLX,OCP177,Marr et al. 2023,SRR19238706,1. AU Wine 1,winery,Wine,Brewery,Food
XTRA_FLY,OCP138,Marr et al. 2023,SRR19238707,8. AU Wine 4,vineyard/winery,NA,Soil,Environmental
XTRA_FLZ,OCP128,Marr et al. 2023,SRR19238708,1. AU Wine 1,winery,Wine,Brewery,Food
XTRA_FMA,OCP125,Marr et al. 2023,SRR19238709,NA,winery,Wine,Brewery,Food
XTRA_FMB,OCP176,Marr et al. 2023,SRR19238710,1. AU Wine 1,vineyard/winery,NA,Soil,Environmental
XTRA_FMC,OCP116,Marr et al. 2023,SRR19238711,1. AU Wine 1,vineyard,NA,Soil,Environmental
XTRA_FMD,OCP113,Marr et al. 2023,SRR19238712,1. AU Wine 1,vineyard/winery,NA,Soil,Environmental
XTRA_FME,OCP032,Marr et al. 2023,SRR19238713,1. AU Wine 1,winery,Wine,Brewery,Food
XTRA_FMF,OCP007,Marr et al. 2023,SRR19238714,8. AU Wine 4,starter/vineyard,Wine,Brewery,Food
XTRA_FMG,AQ2717,Morard et al. 2023,SRR22711715,25. US Clinical 1,Lungs,Lung,Human,Clinical
XTRA_FMH,36924,Morard et al. 2023,SRR22711716,21. Mixed Origins 2,Breastmilk,Breastmilk,Human,Clinical
XTRA_FMI,FBMI34,Morard et al. 2023,SRR22711717,21. Mixed Origins 2,Breastmilk,Breastmilk,Human,Clinical
XTRA_FMJ,FBMI18,Morard et al. 2023,SRR22711718,21. Mixed Origins 2,Breastmilk,Breastmilk,Human,Clinical
XTRA_FMK,AQ435,Morard et al. 2023,SRR22711719,21. Mixed Origins 2,Vagina,Vagina,Human,Clinical
XTRA_FML,AQ2723,Morard et al. 2023,SRR22711720,21. Mixed Origins 2,blood,Blood,Human,Clinical
XTRA_FMM,AQ2654,Morard et al. 2023,SRR22711721,21. Mixed Origins 2,feces,Feces,Human,Clinical
XTRA_FMN,AQ2593,Morard et al. 2023,SRR22711722,21. Mixed Origins 2,Bread,Bread,Baking,Food
XTRA_FMO,AQ593,Morard et al. 2023,SRR22711723,5. Georgian Wine,Sherry wine,Sherry,Distillary,Food
XTRA_FMP,AQ2584,Morard et al. 2023,SRR22711724,7. AU Wine 3,Dietetic,NA,NA,Food
XTRA_FMQ,AQ2724,Morard et al. 2023,SRR22711725,6. West Europe Wine,blood,Blood,Human,Clinical
XTRA_FMR,AQ2657,Morard et al. 2023,SRR22711726,6. West Europe Wine,feces,Feces,Human,Clinical
XTRA_FMS,AQ2587,Morard et al. 2023,SRR22711727,6. West Europe Wine,Dietetic,NA,NA,Food
XTRA_FMT,AQ2885,Morard et al. 2023,SRR22711728,NA,Vagina,Vagina,Human,Clinical
XTRA_FMU,AQ2722,Morard et al. 2023,SRR22711729,NA,blood,Blood,Human,Clinical
XTRA_FMV,AQ2721,Morard et al. 2023,SRR22711730,NA,blood,Blood,Human,Clinical
XTRA_FMW,AQ2720,Morard et al. 2023,SRR22711731,NA,blood,Blood,Human,Clinical
XTRA_FMX,AQ2582,Morard et al. 2023,SRR22711732,21. Mixed Origins 2,Dietetic,NA,NA,Food
XTRA_FMY,AQ2580,Morard et al. 2023,SRR22711733,20. Mixed Origins 1,Dietetic,NA,NA,Food
XTRA_FMZ,2_B4_S10,Ward et al. 2024,SRR25064253,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNA,2018_P55_C5_S130,Ward et al. 2024,SRR25064259,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNB,2018_P68_G10_S25,Ward et al. 2024,SRR25064261,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNC,2018_P49_F7_S11,Ward et al. 2024,SRR25064264,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FND,Y3-P2-G12_S9,Ward et al. 2024,SRR25064270,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNE,2018_P51_H11_S93,Ward et al. 2024,SRR25064271,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNF,2018_P44_H8_S98,Ward et al. 2024,SRR25064272,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNG,E-3_S26,Ward et al. 2024,SRR25064276,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNH,I-4_S50,Ward et al. 2024,SRR25064281,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNI,2018_P22_H6_S58,Ward et al. 2024,SRR25064303,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNJ,1_B3_S40,Ward et al. 2024,SRR25064306,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNK,2_B6_S12,Ward et al. 2024,SRR25064310,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNL,2018_P20_A9_S127,Ward et al. 2024,SRR25064319,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNM,T-8_S112,Ward et al. 2024,SRR25064324,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNN,Y3-P1-C04_S40,Ward et al. 2024,SRR25064329,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNO,2019_P14_D1_S109,Ward et al. 2024,SRR25064339,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNP,D-4_S20,Ward et al. 2024,SRR25064343,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNQ,2018_P5_E4_S77,Ward et al. 2024,SRR25064350,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNR,2018_P1_A1_S99,Ward et al. 2024,SRR25064360,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNS,2018_P31_A9_S64,Ward et al. 2024,SRR25064365,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNT,2019_P6_A4_S31,Ward et al. 2024,SRR25064366,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNU,2018_P20_B8_S92,Ward et al. 2024,SRR25064385,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNV,1_H10_S127,Ward et al. 2024,SRR25064392,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNW,A-5_S2,Ward et al. 2024,SRR25064396,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNX,2018_P49_C7_S12,Ward et al. 2024,SRR25064397,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNY,T-4_S110,Ward et al. 2024,SRR25064426,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FNZ,U-10_S131,Ward et al. 2024,SRR25064432,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOA,1_A9_S122,Ward et al. 2024,SRR25064442,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOB,2018_P70_G8_S119,Ward et al. 2024,SRR25064445,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOC,2018_P31_D1_S137,Ward et al. 2024,SRR25064450,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOD,1_H8_S125,Ward et al. 2024,SRR25064459,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOE,U-5_S128,Ward et al. 2024,SRR25064463,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOF,1_B4_S41,Ward et al. 2024,SRR25064469,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOG,2_B1_S7,Ward et al. 2024,SRR25064470,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOH,2019_P25_G2_S29,Ward et al. 2024,SRR25064508,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOI,2018_P73_A10_S15,Ward et al. 2024,SRR25064513,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOJ,2018_P16_F12_S91,Ward et al. 2024,SRR25064523,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOK,2018_P55_E8_S160,Ward et al. 2024,SRR25064527,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOL,O-6_S81,Ward et al. 2024,SRR25064532,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOM,Y1-P2-A01_S45,Ward et al. 2024,SRR25064538,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FON,1_D12_S76,Ward et al. 2024,SRR25064539,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOO,1_C1_S51,Ward et al. 2024,SRR25064548,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOP,2018_P16_C2_S7,Ward et al. 2024,SRR25064562,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOQ,2018_P34_E10_S67,Ward et al. 2024,SRR25064564,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOR,H-5_S44,Ward et al. 2024,SRR25064568,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOS,P-8_S88,Ward et al. 2024,SRR25064586,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOT,2018_P28_F9_S123,Ward et al. 2024,SRR25064591,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOU,L-6_S69,Ward et al. 2024,SRR25064603,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOV,2018_P5_D5_S18,Ward et al. 2024,SRR25064608,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOW,1_C11_S62,Ward et al. 2024,SRR25064631,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOX,2018_P49_E12_S14,Ward et al. 2024,SRR25064633,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOY,1_A2_S45,Ward et al. 2024,SRR25064650,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FOZ,2018_P32_H12_S44,Ward et al. 2024,SRR25064651,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPA,1_F5_S95,Ward et al. 2024,SRR25064245,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPB,2_C7_S21,Ward et al. 2024,SRR25064252,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPC,J-9_S58,Ward et al. 2024,SRR25064256,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPD,2018_P55_G2_S27,Ward et al. 2024,SRR25064258,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPE,2018_P68_A8_S88,Ward et al. 2024,SRR25064262,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPF,T2-P2-F01_S20,Ward et al. 2024,SRR25064269,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPG,2018_P28_E1_S80,Ward et al. 2024,SRR25064283,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPH,2018_P48_F6_S155,Ward et al. 2024,SRR25064284,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPI,2018_P48_H11_S132,Ward et al. 2024,SRR25064285,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPJ,Q-5_S94,Ward et al. 2024,SRR25064287,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPK,1_C10_S61,Ward et al. 2024,SRR25064292,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPL,1_G10_S114,Ward et al. 2024,SRR25064295,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPM,1_A1_S1,Ward et al. 2024,SRR25064297,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPN,L-10_S72,Ward et al. 2024,SRR25064298,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPO,1_H6_S123,Ward et al. 2024,SRR25064299,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPP,A-9_S4,Ward et al. 2024,SRR25064302,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPQ,2_E1_S30,Ward et al. 2024,SRR25064309,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPR,2_C5_S19,Ward et al. 2024,SRR25064311,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPS,B-10_S12,Ward et al. 2024,SRR25064314,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPT,U-1_S115,Ward et al. 2024,SRR25064326,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPU,2_D2_S23,Ward et al. 2024,SRR25064331,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPV,1_G6_S109,Ward et al. 2024,SRR25064333,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPW,2018_P22_F9_S56,Ward et al. 2024,SRR25064338,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPX,1_C9_S60,Ward et al. 2024,SRR25064340,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPY,C-6_S16,Ward et al. 2024,SRR25064345,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FPZ,2018_P20_H5_S19,Ward et al. 2024,SRR25064348,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQA,2018_P5_B12_S128,Ward et al. 2024,SRR25064351,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQB,2018_P5_G7_S106,Ward et al. 2024,SRR25064354,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQC,1_A3_S56,Ward et al. 2024,SRR25064358,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQD,2018_P5_A9_S120,Ward et al. 2024,SRR25064362,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQE,2019_P16_A10_S121,Ward et al. 2024,SRR25064369,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQF,2019_P15_H5_S139,Ward et al. 2024,SRR25064371,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQG,2019_P25_C3_S168,Ward et al. 2024,SRR25064379,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQH,2019_P15_A7_S46,Ward et al. 2024,SRR25064382,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQI,2019_P25_C11_S133,Ward et al. 2024,SRR25064384,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQJ,1_G8_S112,Ward et al. 2024,SRR25064387,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQK,G-2_S37,Ward et al. 2024,SRR25064388,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQL,2018_P1_G2_S13,Ward et al. 2024,SRR25064391,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQM,2_D7_S29,Ward et al. 2024,SRR25064395,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQN,2_A3_S132,Ward et al. 2024,SRR25064398,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQO,1_D11_S75,Ward et al. 2024,SRR25064399,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQP,Y3-P1-G08_S17,Ward et al. 2024,SRR25064400,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQQ,2_C2_S16,Ward et al. 2024,SRR25064407,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQR,F-7_S34,Ward et al. 2024,SRR25064410,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQS,2018_P22_E10_S146,Ward et al. 2024,SRR25064411,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQT,2_D3_S25,Ward et al. 2024,SRR25064413,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQU,2018_P68_H1_S161,Ward et al. 2024,SRR25064414,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQV,1_F12_S103,Ward et al. 2024,SRR25064416,9. AU Wine 5,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQW,2018_P70_C8_S140,Ward et al. 2024,SRR25064417,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQX,Q-9_S95,Ward et al. 2024,SRR25064420,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQY,T-9_S113,Ward et al. 2024,SRR25064422,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FQZ,V-5_S117,Ward et al. 2024,SRR25064423,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRA,Q-3_S92,Ward et al. 2024,SRR25064427,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRB,C-1_S13,Ward et al. 2024,SRR25064428,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRC,P-x_S89,Ward et al. 2024,SRR25064431,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRD,N-3_S74,Ward et al. 2024,SRR25064433,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRE,H-7_S46,Ward et al. 2024,SRR25064435,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRF,2018_P31_B10_S117,Ward et al. 2024,SRR25064449,10. AU Wine 6,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRG,C-3_S15,Ward et al. 2024,SRR25064455,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRH,T1-P1-D08_S34,Ward et al. 2024,SRR25064462,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRI,T-5_S111,Ward et al. 2024,SRR25064464,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRJ,V-2_S132,Ward et al. 2024,SRR25064465,8. AU Wine 4,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRK,2018_P70_C2_S86,Ward et al. 2024,SRR25064474,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRL,1_D1_S64,Ward et al. 2024,SRR25064476,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRM,1_C5_S55,Ward et al. 2024,SRR25064478,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRN,1_C6_S57,Ward et al. 2024,SRR25064480,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRO,1_E5_S82,Ward et al. 2024,SRR25064481,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRP,1_D9_S73,Ward et al. 2024,SRR25064482,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRQ,1_A5_S78,Ward et al. 2024,SRR25064489,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRR,1_F1_S91,Ward et al. 2024,SRR25064490,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRS,1_F9_S99,Ward et al. 2024,SRR25064491,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRT,1_D2_S65,Ward et al. 2024,SRR25064492,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRU,1_B8_S46,Ward et al. 2024,SRR25064493,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRV,1_D8_S72,Ward et al. 2024,SRR25064496,1. AU Wine 1,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRW,2019_P14_F7_S112,Ward et al. 2024,SRR25064497,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRX,2018_P70_D2_S10,Ward et al. 2024,SRR25064499,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRY,2019_P15_C7_S151,Ward et al. 2024,SRR25064500,NA,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
XTRA_FRZ,1_G3_S106,Ward et al. 2024,SRR25064503,7. AU Wine 3,Spontaneous fermentation of grape juice,Grape Juice,Fermentation,Food
